"","X1","indicador","periodo","valor_absoluto"
"195",195,"Prehospital Emergency Care",2019-05-06,162
"196",196,"Self-care",2019-05-06,683
"197",197,"Poison Control hot-line",2019-05-06,25
"198",198,"Other",2019-05-06,705
"199",199,"Self-care",2019-05-05,722
"200",200,"Prehospital Emergency Care",2019-05-05,181
"201",201,"Other",2019-05-05,570
"202",202,"Primary care",2019-05-05,536
"203",203,"Emergency Care",2019-05-05,1096
"204",204,"Poison Control hot-line",2019-05-05,30
"205",205,"Poison Control hot-line",2019-05-04,26
"206",206,"Other",2019-05-04,564
"207",207,"Primary care",2019-05-04,453
"208",208,"Self-care",2019-05-04,778
"209",209,"Emergency Care",2019-05-04,1073
"210",210,"Prehospital Emergency Care",2019-05-04,185
"211",211,"Other",2019-05-03,696
"212",212,"Primary care",2019-05-03,622
"213",213,"Poison Control hot-line",2019-05-03,22
"214",214,"Emergency Care",2019-05-03,953
"215",215,"Self-care",2019-05-03,708
"216",216,"Prehospital Emergency Care",2019-05-03,202
"217",217,"Emergency Care",2019-05-02,1012
"218",218,"Prehospital Emergency Care",2019-05-02,185
"219",219,"Primary care",2019-05-02,750
"220",220,"Self-care",2019-05-02,650
"221",221,"Poison Control hot-line",2019-05-02,17
"222",222,"Other",2019-05-02,640
"223",223,"Self-care",2019-05-01,705
"224",224,"Primary care",2019-05-01,482
"225",225,"Poison Control hot-line",2019-05-01,44
"226",226,"Other",2019-05-01,519
"227",227,"Emergency Care",2019-05-01,1086
"228",228,"Prehospital Emergency Care",2019-05-01,142
"229",229,"Primary care",2019-04-30,606
"230",230,"Prehospital Emergency Care",2019-04-30,147
"231",231,"Other",2019-04-30,671
"232",232,"Self-care",2019-04-30,655
"233",233,"Emergency Care",2019-04-30,952
"234",234,"Poison Control hot-line",2019-04-30,27
"235",235,"Primary care",2019-04-29,735
"236",236,"Emergency Care",2019-04-29,1013
"237",237,"Poison Control hot-line",2019-04-29,32
"238",238,"Prehospital Emergency Care",2019-04-29,129
"239",239,"Self-care",2019-04-29,671
"240",240,"Other",2019-04-29,577
"241",241,"Self-care",2019-04-28,649
"242",242,"Poison Control hot-line",2019-04-28,20
"243",243,"Emergency Care",2019-04-28,1089
"244",244,"Prehospital Emergency Care",2019-04-28,164
"245",245,"Other",2019-04-28,458
"246",246,"Primary care",2019-04-28,497
"247",247,"Self-care",2019-04-27,688
"248",248,"Prehospital Emergency Care",2019-04-27,127
"249",249,"Emergency Care",2019-04-27,1081
"250",250,"Primary care",2019-04-27,511
"251",251,"Other",2019-04-27,521
"252",252,"Poison Control hot-line",2019-04-27,28
"253",253,"Emergency Care",2019-04-26,967
"254",254,"Primary care",2019-04-26,679
"255",255,"Poison Control hot-line",2019-04-26,26
"256",256,"Other",2019-04-26,603
"257",257,"Self-care",2019-04-26,635
"258",258,"Prehospital Emergency Care",2019-04-26,164
"259",259,"Poison Control hot-line",2019-04-25,32
"260",260,"Other",2019-04-25,477
"261",261,"Self-care",2019-04-25,706
"262",262,"Primary care",2019-04-25,505
"263",263,"Prehospital Emergency Care",2019-04-25,125
"264",264,"Emergency Care",2019-04-25,1025
"265",265,"Poison Control hot-line",2019-04-24,22
"266",266,"Prehospital Emergency Care",2019-04-24,165
"267",267,"Other",2019-04-24,630
"268",268,"Primary care",2019-04-24,611
"269",269,"Emergency Care",2019-04-24,902
"270",270,"Self-care",2019-04-24,659
"271",271,"Primary care",2019-04-23,684
"272",272,"Emergency Care",2019-04-23,906
"273",273,"Self-care",2019-04-23,606
"274",274,"Prehospital Emergency Care",2019-04-23,130
"275",275,"Other",2019-04-23,598
"276",276,"Poison Control hot-line",2019-04-23,21
"277",277,"Prehospital Emergency Care",2019-04-22,119
"278",278,"Other",2019-04-22,621
"279",279,"Self-care",2019-04-22,650
"280",280,"Emergency Care",2019-04-22,974
"281",281,"Primary care",2019-04-22,774
"282",282,"Poison Control hot-line",2019-04-22,21
"283",283,"Self-care",2019-04-21,692
"284",284,"Emergency Care",2019-04-21,1057
"285",285,"Primary care",2019-04-21,462
"286",286,"Prehospital Emergency Care",2019-04-21,152
"287",287,"Other",2019-04-21,468
"288",288,"Poison Control hot-line",2019-04-21,27
"289",289,"Primary care",2019-04-20,513
"290",290,"Emergency Care",2019-04-20,1211
"291",291,"Poison Control hot-line",2019-04-20,23
"292",292,"Self-care",2019-04-20,772
"293",293,"Prehospital Emergency Care",2019-04-20,135
"294",294,"Other",2019-04-20,601
"295",295,"Self-care",2019-04-19,813
"296",296,"Emergency Care",2019-04-19,1156
"297",297,"Poison Control hot-line",2019-04-19,25
"298",298,"Prehospital Emergency Care",2019-04-19,138
"299",299,"Primary care",2019-04-19,453
"300",300,"Other",2019-04-19,589
"301",301,"Primary care",2019-04-18,567
"302",302,"Other",2019-04-18,567
"303",303,"Poison Control hot-line",2019-04-18,21
"304",304,"Self-care",2019-04-18,669
"305",305,"Prehospital Emergency Care",2019-04-18,149
"306",306,"Emergency Care",2019-04-18,942
"307",307,"Primary care",2019-04-17,700
"308",308,"Other",2019-04-17,610
"309",309,"Emergency Care",2019-04-17,973
"310",310,"Self-care",2019-04-17,654
"311",311,"Poison Control hot-line",2019-04-17,27
"312",312,"Prehospital Emergency Care",2019-04-17,150
"313",313,"Primary care",2019-04-16,701
"314",314,"Emergency Care",2019-04-16,848
"315",315,"Poison Control hot-line",2019-04-16,18
"316",316,"Other",2019-04-16,560
"317",317,"Self-care",2019-04-16,634
"318",318,"Prehospital Emergency Care",2019-04-16,146
"319",319,"Self-care",2019-04-15,703
"320",320,"Primary care",2019-04-15,802
"321",321,"Poison Control hot-line",2019-04-15,22
"322",322,"Prehospital Emergency Care",2019-04-15,179
"323",323,"Other",2019-04-15,709
"324",324,"Emergency Care",2019-04-15,1018
"325",325,"Emergency Care",2019-04-14,1052
"326",326,"Self-care",2019-04-14,808
"327",327,"Prehospital Emergency Care",2019-04-14,158
"328",328,"Other",2019-04-14,678
"329",329,"Primary care",2019-04-14,615
"330",330,"Poison Control hot-line",2019-04-14,35
"331",331,"Other",2019-04-13,640
"332",332,"Self-care",2019-04-13,865
"333",333,"Prehospital Emergency Care",2019-04-13,146
"334",334,"Primary care",2019-04-13,501
"335",335,"Emergency Care",2019-04-13,1073
"336",336,"Poison Control hot-line",2019-04-13,28
"337",337,"Primary care",2019-04-12,654
"338",338,"Prehospital Emergency Care",2019-04-12,151
"339",339,"Self-care",2019-04-12,636
"340",340,"Poison Control hot-line",2019-04-12,31
"341",341,"Other",2019-04-12,644
"342",342,"Emergency Care",2019-04-12,923
"343",343,"Prehospital Emergency Care",2019-04-11,162
"344",344,"Poison Control hot-line",2019-04-11,15
"345",345,"Other",2019-04-11,529
"346",346,"Self-care",2019-04-11,647
"347",347,"Primary care",2019-04-11,741
"348",348,"Emergency Care",2019-04-11,933
"349",349,"Self-care",2019-04-10,624
"350",350,"Poison Control hot-line",2019-04-10,28
"351",351,"Prehospital Emergency Care",2019-04-10,152
"352",352,"Other",2019-04-10,577
"353",353,"Primary care",2019-04-10,741
"354",354,"Emergency Care",2019-04-10,971
"355",355,"Other",2019-04-09,577
"356",356,"Self-care",2019-04-09,611
"357",357,"Prehospital Emergency Care",2019-04-09,162
"358",358,"Primary care",2019-04-09,739
"359",359,"Emergency Care",2019-04-09,966
"360",360,"Poison Control hot-line",2019-04-09,24
"361",361,"Primary care",2019-04-08,775
"362",362,"Poison Control hot-line",2019-04-08,34
"363",363,"Emergency Care",2019-04-08,1062
"364",364,"Other",2019-04-08,604
"365",365,"Self-care",2019-04-08,684
"366",366,"Prehospital Emergency Care",2019-04-08,184
"367",367,"Primary care",2019-04-07,633
"368",368,"Other",2019-04-07,531
"369",369,"Self-care",2019-04-07,739
"370",370,"Poison Control hot-line",2019-04-07,35
"371",371,"Emergency Care",2019-04-07,1145
"372",372,"Prehospital Emergency Care",2019-04-07,163
"373",373,"Primary care",2019-04-06,498
"374",374,"Emergency Care",2019-04-06,1128
"375",375,"Other",2019-04-06,511
"376",376,"Prehospital Emergency Care",2019-04-06,125
"377",377,"Self-care",2019-04-06,769
"378",378,"Poison Control hot-line",2019-04-06,19
"379",379,"Emergency Care",2019-04-05,938
"380",380,"Primary care",2019-04-05,671
"381",381,"Other",2019-04-05,579
"382",382,"Poison Control hot-line",2019-04-05,14
"383",383,"Prehospital Emergency Care",2019-04-05,144
"384",384,"Self-care",2019-04-05,687
"385",385,"Primary care",2019-04-04,683
"386",386,"Emergency Care",2019-04-04,976
"387",387,"Self-care",2019-04-04,725
"388",388,"Poison Control hot-line",2019-04-04,20
"389",389,"Prehospital Emergency Care",2019-04-04,156
"390",390,"Other",2019-04-04,613
"391",391,"Self-care",2019-04-03,758
"392",392,"Primary care",2019-04-03,748
"393",393,"Prehospital Emergency Care",2019-04-03,157
"394",394,"Emergency Care",2019-04-03,923
"395",395,"Other",2019-04-03,608
"396",396,"Poison Control hot-line",2019-04-03,25
"397",397,"Self-care",2019-04-02,726
"398",398,"Primary care",2019-04-02,806
"399",399,"Poison Control hot-line",2019-04-02,30
"400",400,"Emergency Care",2019-04-02,1011
"401",401,"Prehospital Emergency Care",2019-04-02,139
"402",402,"Other",2019-04-02,783
"403",403,"Other",2019-04-01,816
"404",404,"Self-care",2019-04-01,799
"405",405,"Primary care",2019-04-01,857
"406",406,"Emergency Care",2019-04-01,1063
"407",407,"Poison Control hot-line",2019-04-01,31
"408",408,"Prehospital Emergency Care",2019-04-01,183
"409",409,"Primary care",2019-03-31,658
"410",410,"Poison Control hot-line",2019-03-31,34
"411",411,"Emergency Care",2019-03-31,1186
"412",412,"Other",2019-03-31,619
"413",413,"Self-care",2019-03-31,734
"414",414,"Prehospital Emergency Care",2019-03-31,157
"415",415,"Primary care",2019-03-30,577
"416",416,"Emergency Care",2019-03-30,1160
"417",417,"Other",2019-03-30,618
"418",418,"Self-care",2019-03-30,829
"419",419,"Poison Control hot-line",2019-03-30,33
"420",420,"Prehospital Emergency Care",2019-03-30,144
"421",421,"Emergency Care",2019-03-29,964
"422",422,"Self-care",2019-03-29,731
"423",423,"Prehospital Emergency Care",2019-03-29,168
"424",424,"Primary care",2019-03-29,674
"425",425,"Poison Control hot-line",2019-03-29,20
"426",426,"Other",2019-03-29,587
"427",427,"Primary care",2019-03-28,759
"428",428,"Poison Control hot-line",2019-03-28,29
"429",429,"Self-care",2019-03-28,641
"430",430,"Prehospital Emergency Care",2019-03-28,165
"431",431,"Emergency Care",2019-03-28,976
"432",432,"Other",2019-03-28,670
"433",433,"Primary care",2019-03-27,790
"434",434,"Prehospital Emergency Care",2019-03-27,162
"435",435,"Other",2019-03-27,660
"436",436,"Self-care",2019-03-27,722
"437",437,"Emergency Care",2019-03-27,1009
"438",438,"Poison Control hot-line",2019-03-27,32
"439",439,"Primary care",2019-03-26,801
"440",440,"Self-care",2019-03-26,770
"441",441,"Prehospital Emergency Care",2019-03-26,148
"442",442,"Other",2019-03-26,682
"443",443,"Poison Control hot-line",2019-03-26,38
"444",444,"Emergency Care",2019-03-26,963
"445",445,"Other",2019-03-25,723
"446",446,"Primary care",2019-03-25,884
"447",447,"Prehospital Emergency Care",2019-03-25,174
"448",448,"Self-care",2019-03-25,731
"449",449,"Emergency Care",2019-03-25,1072
"450",450,"Poison Control hot-line",2019-03-25,32
"451",451,"Self-care",2019-03-24,747
"452",452,"Emergency Care",2019-03-24,1194
"453",453,"Poison Control hot-line",2019-03-24,19
"454",454,"Other",2019-03-24,542
"455",455,"Primary care",2019-03-24,707
"456",456,"Prehospital Emergency Care",2019-03-24,154
"457",457,"Emergency Care",2019-03-23,1163
"458",458,"Poison Control hot-line",2019-03-23,36
"459",459,"Prehospital Emergency Care",2019-03-23,157
"460",460,"Self-care",2019-03-23,829
"461",461,"Other",2019-03-23,522
"462",462,"Primary care",2019-03-23,514
"463",463,"Self-care",2019-03-22,695
"464",464,"Other",2019-03-22,609
"465",465,"Primary care",2019-03-22,690
"466",466,"Emergency Care",2019-03-22,971
"467",467,"Poison Control hot-line",2019-03-22,23
"468",468,"Prehospital Emergency Care",2019-03-22,146
"469",469,"Primary care",2019-03-21,732
"470",470,"Poison Control hot-line",2019-03-21,28
"471",471,"Self-care",2019-03-21,710
"472",472,"Other",2019-03-21,636
"473",473,"Emergency Care",2019-03-21,922
"474",474,"Prehospital Emergency Care",2019-03-21,148
"475",475,"Emergency Care",2019-03-20,991
"476",476,"Poison Control hot-line",2019-03-20,28
"477",477,"Prehospital Emergency Care",2019-03-20,163
"478",478,"Primary care",2019-03-20,823
"479",479,"Other",2019-03-20,691
"480",480,"Self-care",2019-03-20,708
"481",481,"Self-care",2019-03-19,723
"482",482,"Primary care",2019-03-19,748
"483",483,"Emergency Care",2019-03-19,979
"484",484,"Poison Control hot-line",2019-03-19,24
"485",485,"Prehospital Emergency Care",2019-03-19,153
"486",486,"Other",2019-03-19,626
"487",487,"Emergency Care",2019-03-18,1031
"488",488,"Self-care",2019-03-18,784
"489",489,"Poison Control hot-line",2019-03-18,13
"490",490,"Prehospital Emergency Care",2019-03-18,180
"491",491,"Other",2019-03-18,686
"492",492,"Primary care",2019-03-18,883
"493",493,"Emergency Care",2019-03-17,1068
"494",494,"Poison Control hot-line",2019-03-17,35
"495",495,"Prehospital Emergency Care",2019-03-17,145
"496",496,"Self-care",2019-03-17,825
"497",497,"Primary care",2019-03-17,668
"498",498,"Other",2019-03-17,565
"499",499,"Primary care",2019-03-16,555
"500",500,"Prehospital Emergency Care",2019-03-16,133
"501",501,"Poison Control hot-line",2019-03-16,30
"502",502,"Self-care",2019-03-16,828
"503",503,"Emergency Care",2019-03-16,1136
"504",504,"Other",2019-03-16,522
"505",505,"Self-care",2019-03-15,716
"506",506,"Emergency Care",2019-03-15,955
"507",507,"Other",2019-03-15,666
"508",508,"Primary care",2019-03-15,669
"509",509,"Poison Control hot-line",2019-03-15,27
"510",510,"Prehospital Emergency Care",2019-03-15,172
"511",511,"Emergency Care",2019-03-14,961
"512",512,"Primary care",2019-03-14,710
"513",513,"Poison Control hot-line",2019-03-14,17
"514",514,"Other",2019-03-14,662
"515",515,"Prehospital Emergency Care",2019-03-14,149
"516",516,"Self-care",2019-03-14,688
"517",517,"Emergency Care",2019-03-13,1005
"518",518,"Other",2019-03-13,616
"519",519,"Poison Control hot-line",2019-03-13,31
"520",520,"Self-care",2019-03-13,707
"521",521,"Primary care",2019-03-13,773
"522",522,"Prehospital Emergency Care",2019-03-13,138
"523",523,"Self-care",2019-03-12,710
"524",524,"Emergency Care",2019-03-12,1010
"525",525,"Poison Control hot-line",2019-03-12,17
"526",526,"Prehospital Emergency Care",2019-03-12,168
"527",527,"Other",2019-03-12,659
"528",528,"Primary care",2019-03-12,760
"529",529,"Self-care",2019-03-11,752
"530",530,"Primary care",2019-03-11,972
"531",531,"Other",2019-03-11,681
"532",532,"Emergency Care",2019-03-11,1049
"533",533,"Poison Control hot-line",2019-03-11,31
"534",534,"Prehospital Emergency Care",2019-03-11,149
"535",535,"Prehospital Emergency Care",2019-03-10,162
"536",536,"Other",2019-03-10,558
"537",537,"Primary care",2019-03-10,659
"538",538,"Poison Control hot-line",2019-03-10,26
"539",539,"Self-care",2019-03-10,834
"540",540,"Emergency Care",2019-03-10,1226
"541",541,"Primary care",2019-03-09,584
"542",542,"Prehospital Emergency Care",2019-03-09,155
"543",543,"Poison Control hot-line",2019-03-09,23
"544",544,"Self-care",2019-03-09,746
"545",545,"Emergency Care",2019-03-09,1224
"546",546,"Other",2019-03-09,556
"547",547,"Self-care",2019-03-08,681
"548",548,"Prehospital Emergency Care",2019-03-08,169
"549",549,"Other",2019-03-08,665
"550",550,"Primary care",2019-03-08,757
"551",551,"Emergency Care",2019-03-08,993
"552",552,"Poison Control hot-line",2019-03-08,30
"553",553,"Primary care",2019-03-07,864
"554",554,"Emergency Care",2019-03-07,962
"555",555,"Prehospital Emergency Care",2019-03-07,176
"556",556,"Other",2019-03-07,665
"557",557,"Self-care",2019-03-07,794
"558",558,"Poison Control hot-line",2019-03-07,17
"559",559,"Emergency Care",2019-03-06,983
"560",560,"Poison Control hot-line",2019-03-06,37
"561",561,"Other",2019-03-06,694
"562",562,"Self-care",2019-03-06,757
"563",563,"Primary care",2019-03-06,939
"564",564,"Prehospital Emergency Care",2019-03-06,164
"565",565,"Poison Control hot-line",2019-03-05,27
"566",566,"Self-care",2019-03-05,840
"567",567,"Other",2019-03-05,705
"568",568,"Primary care",2019-03-05,656
"569",569,"Prehospital Emergency Care",2019-03-05,198
"570",570,"Emergency Care",2019-03-05,1198
"571",571,"Self-care",2019-03-04,844
"572",572,"Primary care",2019-03-04,838
"573",573,"Emergency Care",2019-03-04,1050
"574",574,"Poison Control hot-line",2019-03-04,27
"575",575,"Prehospital Emergency Care",2019-03-04,138
"576",576,"Other",2019-03-04,669
"577",577,"Primary care",2019-03-03,729
"578",578,"Poison Control hot-line",2019-03-03,29
"579",579,"Prehospital Emergency Care",2019-03-03,158
"580",580,"Other",2019-03-03,617
"581",581,"Self-care",2019-03-03,919
"582",582,"Emergency Care",2019-03-03,1073
"583",583,"Poison Control hot-line",2019-03-02,34
"584",584,"Self-care",2019-03-02,877
"585",585,"Prehospital Emergency Care",2019-03-02,154
"586",586,"Emergency Care",2019-03-02,1125
"587",587,"Other",2019-03-02,662
"588",588,"Primary care",2019-03-02,560
"589",589,"Emergency Care",2019-03-01,993
"590",590,"Poison Control hot-line",2019-03-01,23
"591",591,"Prehospital Emergency Care",2019-03-01,179
"592",592,"Self-care",2019-03-01,805
"593",593,"Other",2019-03-01,670
"594",594,"Primary care",2019-03-01,761
"595",595,"Emergency Care",2019-02-28,1049
"596",596,"Prehospital Emergency Care",2019-02-28,178
"597",597,"Primary care",2019-02-28,895
"598",598,"Poison Control hot-line",2019-02-28,24
"599",599,"Other",2019-02-28,692
"600",600,"Self-care",2019-02-28,837
"601",601,"Other",2019-02-27,731
"602",602,"Self-care",2019-02-27,855
"603",603,"Prehospital Emergency Care",2019-02-27,151
"604",604,"Poison Control hot-line",2019-02-27,38
"605",605,"Emergency Care",2019-02-27,1049
"606",606,"Primary care",2019-02-27,930
"607",607,"Primary care",2019-02-26,942
"608",608,"Other",2019-02-26,736
"609",609,"Self-care",2019-02-26,1006
"610",610,"Poison Control hot-line",2019-02-26,30
"611",611,"Prehospital Emergency Care",2019-02-26,177
"612",612,"Emergency Care",2019-02-26,1007
"613",613,"Self-care",2019-02-25,981
"614",614,"Primary care",2019-02-25,1109
"615",615,"Poison Control hot-line",2019-02-25,31
"616",616,"Prehospital Emergency Care",2019-02-25,169
"617",617,"Other",2019-02-25,859
"618",618,"Emergency Care",2019-02-25,1146
"619",619,"Poison Control hot-line",2019-02-24,22
"620",620,"Prehospital Emergency Care",2019-02-24,179
"621",621,"Emergency Care",2019-02-24,1362
"622",622,"Other",2019-02-24,675
"623",623,"Primary care",2019-02-24,895
"624",624,"Self-care",2019-02-24,1079
"625",625,"Other",2019-02-23,680
"626",626,"Primary care",2019-02-23,723
"627",627,"Emergency Care",2019-02-23,1355
"628",628,"Poison Control hot-line",2019-02-23,20
"629",629,"Self-care",2019-02-23,1085
"630",630,"Prehospital Emergency Care",2019-02-23,179
"631",631,"Poison Control hot-line",2019-02-22,31
